trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240104,5240,9,9
20240104,6000,3343,3076
20240104,6010,2,2
20240104,6020,118,237
20240104,6030,46,47
20240104,6040,9,3
20240104,6050,460,464
20240104,6060,6,8
20240104,6070,423,439
20240104,6080,137,198
20240104,6090,6,4
20240104,6100,6,13
20240104,6110,1019,996
20240104,6120,11,7
20240104,6130,441,526
20240104,6140,37,46
20240104,6150,6,9
20240104,6160,375,348
20240104,6170,43,42
20240104,6180,292,296
20240104,6190,22,19
20240104,6200,10,17
20240104,6210,48,58
20240104,6220,299,287
20240104,6230,11,8
20240104,6240,389,214
20240104,6250,475,437
20240104,7000,8054,7811
20240104,7010,160,164
20240104,7020,13,16
20240104,7030,781,695
20240104,7040,24,19
20240104,7050,47,49
20240104,7060,856,845
20240104,7070,13,15
20240104,7080,11,18
20240104,7090,816,780
20240104,7100,177,192
20240104,7110,12,16
20240104,7120,472,487
20240104,7130,593,620
20240104,7150,491,495
20240104,7160,4183,4049
20240104,7170,48,40
20240104,7180,130,115
20240104,7190,3727,3657
20240104,7200,146,132
20240104,7210,1765,1852
20240104,7220,107,111
20240104,7230,974,1026
20240104,7240,52,49
20240104,7250,82,70
20240104,7260,164,157
20240104,7270,119,67
20240104,7280,16,18
20240104,7290,524,594
20240104,7300,142,158
20240104,7310,654,640
20240104,7320,158,182
20240104,7330,67,107
20240104,7331,11,8
20240104,7332,1775,1807
20240104,7333,12,12
20240104,7334,15,20
20240104,7335,162,178
20240104,7336,165,140
20240104,7350,778,699
20240104,7360,5797,6190
20240104,7361,68,47
20240104,7362,130,218
20240104,7380,805,757
20240104,7390,617,599
20240105,900,10380,9601
20240105,910,1569,1766
20240105,920,3046,2708
20240105,930,7308,7443
20240105,940,3179,3006
20240105,950,2868,2272
20240105,960,12492,12897
20240105,970,14727,14561
20240105,980,16462,18122
20240105,990,21400,21626
20240105,1000,70365,66668
20240105,1010,5604,5563
20240105,1020,26543,26782
20240105,1030,4119,3856
20240105,1040,15595,15985
20240105,1050,1634,1609
20240105,1060,1998,1936
20240105,1070,9900,10088
20240105,1080,30288,31493
20240105,1090,11543,10988
20240105,1100,27717,26655
20240105,1110,7204,7042
20240105,1120,6607,5691
20240105,1130,1871,2049
20240105,1140,420,455
20240105,1150,1111,1069
20240105,1160,4238,4116
20240105,1170,6839,6206
20240105,1180,6826,6756
20240105,1190,3529,3518
20240105,1191,351,320
20240105,1192,2987,2364
20240105,1193,1038,798
20240105,1194,3974,4723
20240105,1201,69,82
20240105,1202,243,186
20240105,1203,526,533
20240105,1204,74,75
20240105,1205,40,43
20240105,1206,28,31
20240105,1207,3,87
20240105,1208,208,227
20240105,1210,22465,21393
